常州,1号线,常州火车站
西安,1号线,北大街
贵阳,1号线,雅关
天津,1号线,小白楼
广州,1号线,体育西路
成都,1号线(五根松-韦家碾),倪家桥
武汉,1号线,友谊路
上海,1号线,新闸路
乌鲁木齐,1号线,南湖广场
太原,2号线,晋阳街
兰州,1号线,兰州大学
长春,1号线,红嘴子
济南,2号线,二环西路
昆明,1号线(环城南路-大学城南),联大街
东莞,2号线,虎门火车站
南昌,1号线,师大南路
呼和浩特,1号线,市政府
厦门,1号线,园博苑
石家庄,1号线,白佛
南宁,1号线,火车站
温州,S1线,瓯江口
徐州,1号线,医科大学
沈阳,1号线,迎宾路
合肥,1号线,葛大店
郑州,1号线,郑州火车站
无锡,1号线,人民医院
佛山,南海有轨电车1号线,林岳东
重庆,1号线,杨公桥
哈尔滨,1号线,哈工大
福州,1号线,葫芦阵
长沙,1号线,友谊路
香港,东铁线(落馬洲-紅磡),上水
深圳,1号线/罗宝线,华侨城
西安,1号线,五路口
南京,1号线,竹山路
苏州,1号线,东环路
北京,1号线八通线,公主坟
常州,1号线,博爱路
广州,1号线,体育中心
杭州,1号线,闸弄口
青岛,1号线,青岛北站
天津,1号线,下瓦房
大连,1号线,星海广场
贵阳,1号线,贵阳北站
成都,1号线(五根松-韦家碾),省体育馆
徐州,1号线,乔家湖
济南,2号线,老屯
兰州,1号线,五里铺
南昌,1号线,彭家桥
太原,2号线,龙兴街
武汉,1号线,利济北路
昆明,1号线(环城南路-大学城南),谊康南路
乌鲁木齐,1号线,新兴街
石家庄,1号线,留村
长春,2号线,汽车公园
呼和浩特,1号线,呼和浩特东站
厦门,1号线,杏林村
上海,1号线,汉中路
温州,S1线,瓯华
合肥,1号线,秋浦河路
福州,1号线,黄山
重庆,1号线,烈士墓
哈尔滨,1号线,铁路局
郑州,1号线,二七广场
佛山,佛山2号线,南庄
沈阳,1号线,于洪广场
长沙,1号线,省政府·清风
无锡,1号线,华清大桥
香港,东铁线(落馬洲-紅磡),落马洲
西安,1号线,朝阳门
宁波,1号线,樱花公园
深圳,1号线/罗宝线,世界之窗
北京,1号线八通线,军事博物馆
南京,1号线,小龙湾
青岛,1号线,安顺路
杭州,1号线,火车东站
苏州,1号线,中央公园
广州,1号线,广州东站
天津,1号线,南楼
大连,1号线,大医二院
常州,1号线,文化宫
贵阳,1号线,白鹭湖
成都,1号线(五根松-韦家碾),华西坝
徐州,1号线,金龙湖
兰州,1号线,省气象局
武汉,1号线,崇仁路
石家庄,1号线,火炬广场
昆明,1号线(环城南路-大学城南),大学城
济南,2号线,八里桥
重庆,1号线,磁器口
南昌,1号线,谢家村
厦门,1号线,杏锦路
乌鲁木齐,1号线,北门
哈尔滨,1号线,博物馆
温州,S1线,双瓯大道
沈阳,1号线,开发大道
南宁,1号线,广西大学
合肥,1号线,朱岗
福州,1号线,排下
太原,2号线,龙城公园
呼和浩特,1号线,后不塔气
上海,1号线,上海火车站
佛山,佛山2号线,湖涌
长春,2号线,捷达大路
长沙,1号线,桂花坪
无锡,1号线,扬名
郑州,1号线,人民路
香港,东铁线(羅湖-紅磡),金钟
西安,1号线,康复路
宁波,1号线,舟孟北路
深圳,1号线/罗宝线,白石洲
北京,1号线八通线,木樨地
南京,1号线,百家湖
青岛,1号线,胜利桥(纺织谷)
杭州,1号线,彭埠
苏州,1号线,星海广场
广州,佛山2号线,广州南站
天津,1号线,土城
大连,1号线,黑石礁
常州,1号线,同济桥
贵阳,1号线,新寨
成都,1号线(五根松-韦家碾),锦江宾馆
徐州,1号线,徐州东站
兰州,1号线,拱星墩
武汉,1号线,硚口路
石家庄,1号线,石家庄东站
昆明,1号线(环城南路-大学城南),大学城南
济南,2号线,益康路
重庆,1号线,石井坡
南昌,1号线,青山湖大道
厦门,1号线,官任
乌鲁木齐,1号线,南门
哈尔滨,1号线,医大一院
沈阳,1号线,张士
南宁,1号线,鲁班路
合肥,1号线,合工大南区
福州,1号线,城门
太原,2号线,嘉节
呼和浩特,1号线,什兰岱
上海,1号线,中山北路
佛山,佛山2号线,绿岛湖
长春,2号线,西湖
长沙,1号线,大托
无锡,1号线,南湖家园
郑州,1号线,紫荆山
香港,东铁线(羅湖-紅磡),会展
西安,1号线,通化门
宁波,1号线,江厦桥东
深圳,1号线/罗宝线,高新园
北京,1号线八通线,南礼士路
南京,1号线,胜太路
青岛,1号线,中心医院
杭州,1号线,七堡
苏州,1号线,东方之门
广州,佛山2号线,林岳东
天津,1号线,陈塘庄
大连,1号线,学苑广场
常州,1号线,清凉寺
贵阳,1号线,阳关
成都,1号线(五根松-韦家碾),天府广场
徐州,2号线,客运北站
兰州,1号线,焦家湾
武汉,1号线,太平洋
石家庄,1号线,南村
昆明,1号线(环城南路-昆明南火车站),环城南路
济南,2号线,济南站北
重庆,1号线,双碑
南昌,1号线,高新大道
厦门,1号线,诚毅广场
乌鲁木齐,1号线,二道桥
哈尔滨,1号线,烟厂
沈阳,1号线,四号街
南宁,1号线,动物园
合肥,1号线,包公园
福州,1号线,三角埕
太原,2号线,电子西街
呼和浩特,1号线,白塔西
上海,1号线,延长路
佛山,佛山2号线,智慧新城
长春,2号线,双丰
长沙,1号线,中信广场
无锡,1号线,塘铁桥
郑州,1号线,燕庄
香港,东铁线(羅湖-紅磡),红磡
西安,1号线,万寿路
宁波,1号线,东门口
深圳,1号线/罗宝线,深大
北京,1号线八通线,复兴门
南京,1号线,河定桥
青岛,1号线,水清沟
杭州,1号线,九和路
苏州,1号线,文化博览中心
广州,佛山2号线,林岳西
天津,1号线,复兴门
大连,1号线,海事大学
常州,1号线,茶山
贵阳,1号线,国际生态会议中心
成都,1号线(五根松-韦家碾),骡马市
徐州,2号线,李沃
兰州,1号线,东岗
武汉,1号线,宗关
石家庄,1号线,洨河大道
昆明,1号线(环城南路-昆明南火车站),昆明火车站
济南,2号线,济泺路
重庆,1号线,赖家桥
南昌,1号线,艾溪湖西
厦门,1号线,集美软件园
乌鲁木齐,1号线,新疆大学
哈尔滨,1号线,工程大学
沈阳,1号线,七号街
南宁,1号线,清川
合肥,1号线,大东门
福州,1号线,胪雷
太原,2号线,康宁街
呼和浩特,1号线,坝堰(机场)
上海,1号线,上海马戏城
佛山,佛山2号线,张槎
长春,2号线,长春西站
长沙,1号线,尚双塘
无锡,1号线,金匮公园
郑州,1号线,民航路
香港,东铁线(羅湖-紅磡),旺角东
西安,1号线,长乐坡
宁波,1号线,鼓楼
深圳,1号线/罗宝线,桃园
北京,1号线八通线,西单
南京,1号线,双龙大道
青岛,1号线,北岭
杭州,1号线,九堡
苏州,1号线,时代广场
广州,佛山2号线,石洲
天津,1号线,华山里
大连,1号线,七贤岭
常州,1号线,聚湖路
贵阳,1号线,观山湖公园
成都,1号线(五根松-韦家碾),文殊院
徐州,2号线,九里山
武汉,1号线,汉西一路
石家庄,1号线,西庄
昆明,1号线(环城南路-昆明南火车站),福德
济南,2号线,生产路
重庆,1号线,微电园
南昌,1号线,艾溪湖东
厦门,1号线,集美大道
乌鲁木齐,1号线,三屯碑
哈尔滨,1号线,太平桥
沈阳,1号线,中央大街
南宁,1号线,民族大学
合肥,1号线,明光路
福州,1号线,福州火车南站
太原,2号线,通达街
呼和浩特,2号线,塔利东路
上海,1号线,汶水路
佛山,佛山2号线,石湾
长春,2号线,兴隆堡
长沙,2号线,梅溪湖西
无锡,1号线,市民中心
郑州,1号线,会展中心
香港,东铁线(羅湖-紅磡),九龙塘
西安,1号线,浐河
宁波,1号线,西门口
深圳,1号线/罗宝线,大新
北京,1号线八通线,天安门西
南京,1号线,南京南站
青岛,1号线,小村庄
杭州,1号线,客运中心
苏州,1号线,星湖街
广州,佛山2号线,仙涌
天津,1号线,财经大学
大连,1号线,河口
常州,1号线,湖塘
贵阳,1号线,林城西路
